ID,CustomerID,Product_Category,Purchase_Date,Price,Quantity,Product_Description,Country,Phone_Number,Email
31,CUST_031,Books,Apr 07 2024,449.75,15.0,Science policy else ground usually.,United Kingdom,666-720-7309,miranda71@example.net
32,CUST_032,nan,Mar 31 2024,253.16,18.0,Near professor challenge lead choose but.,Canada,865 724 9180,wrobinson@example.com
33,,Books,Jul 21 2024,479.14,15.0,"Nor, level, dream. - experience",United Kingdom,511.345.5362x59942,william60@example.com
34,CUST_034,Books,2024-08-05,466.95,15.0,Some shoulder exist.,Canada,(312)853-1802,rowejoseph@example.com
35,CUST_035,Electornics,15/10/2024,377.14,13.0,Economy apply media.,usa,300.724.6563x060,douglasmichelle@example.org
36,CUST_036,Electornics,Aug 14 2024,412.36,4.0,Executive clearly five remain their.,USA,001 719 967 1723,simmonsjulieexample.net.
37,CUST_037,Electornics,Sep 15 2024,378.16,6.0,"Relationship, beautiful, age, suggest, firm, reduce. - weight",Usa,639.391.0069x49349,hwalker@example.com
38,CUST_038,Clothing,24/03/2024,136.34,17.0,"Security, how, line, goal, few, level. - whom",UK,589-895-6725x594,iortiz@example.com
39,CUST_039,Sports,20/10/2024,257.17,12.0,"Bill, or, decide, laugh. - matter",Usa,+1-535-509-1448x70984,daniel40@example.net
40,CUST_040,Furniture,22/03/2024,441.84,10.0,Culture matter approach represent born major.,usa,216 201 7514,krystal58@example.org
41,CUST_041,Sports,Mar 12 2024,497.94,19.0,Effort bit then phone memory.,United Kingdom,600.244.9404x6878,donald21@example.com
42,CUST_042,Books,Apr 05 2024,185.2,19.0,RECORD WOMAN EFFORT ADMIT.,CAN,287.890.6199x75884,uglenn@example.org
43,CUST_043,Books,Jul 05 2024,114.21,11.0,Away fire even but.,Canada,439.517.9404x74484,zjohnson@example.net
44,CUST_044,Sports,2024-03-09,391.55,12.0,Movie call possible light career simply.,Canada,+1-211-992-3551x085,jevans@example.com
45,CUST_045,Electornics,Nov 24 2024,299.96,5.0,After also ball international large.,UK,(632)828-9078x0255,sabrinagarciaexample.org.
46,CUST_046,Grocery,2024-12-17,183.34,12.0,"East, son, cup, more, show, us. - trouble",United Kingdom,(366)838-9259x428,virginiaallen@example.com
47,CUST_047,Clothing,11/02/2025,316.44,17.0,PULL CHAIR LITTLE ALONG OWNER.,UK,+1 955 741 3296,patricia52@example.org
48,CUST_048,Books,Oct 10 2024,96.4,19.0,US INCLUDING BOTH MOMENT FRIEND IMPROVE.,Usa,(313)713-5694,cristinamiller@example.com
49,,Sports,Apr 10 2024,280.4,6.0,Career beyond animal.,Canada,(465)316-2546x00281,sandrabrown@example.org
50,CUST_050,Electronics,Sep 25 2024,115.33,3.0,City not trouble just attention.,usa,479 757 6261x53302,murraymichael@example.com
51,CUST_051,Grocery,2025-01-07,192.94,1.0,Heart stage night.,UK,6424802151,rpotter@example.net
52,CUST_052,Electornics,Feb 08 2025,155.98,17.0,Long prove blue hold drop.,United Kingdom,001 612 281 8988,popeashley@example.com
53,CUST_053,nan,2024-06-13,344.11,19.0,Red rise chance.,usa,3712684459,zimmermandestiny@example.com
54,CUST_054,Books,2025-02-19,315.94,16.0,THROUGH THINK COURT.,USA,342.497.8466x690,colin66@example.net
55,CUST_055,nan,Jul 31 2024,369.91,14.0,Best themselves south second miss.,UK,914-401-0219x59525,vickimiller@example.com
56,CUST_056,Electronics,Aug 15 2024,193.4,,Various himself question parent.,Canada,+1 996 865 8609,brittanyruiz@example.org
57,CUST_057,nan,03/04/2024,479.21,5.0,Section boy see go.,CAN,+1-203-501-1967x243,cassandra85@example.net
58,CUST_058,Grocery,18/03/2024,381.31,15.0,Myself peace success meet draw like.,Usa,6775958386,evelyn82example.org.
59,CUST_059,Clothing,Aug 30 2024,182.3,15.0,Natural charge treat.,Canada,915 948 4028x57402,lauraguerrero@example.org
60,CUST_060,Clothing,2024-10-25,99999.99,17.0,Policy pay face over tax.,Usa,001-448-906-0116x97358,paulclark@example.com
61,CUST_061,Furniture,2024-07-14,141.36,,"Happen, along, series, vote. - back",USA,+1-581-560-9503x3172,kathryn49@example.net
62,CUST_062,Clothing,Jan 14 2025,148.51,14.0,All history push executive could professional.,UK,7938563806,kaylagreen@example.net
63,CUST_063,Sports,02/08/2024,277.05,10.0,Start seven film least education.,Canada,701780 7008,gail51@example.com
64,CUST_064,Clothing,31/12/2024,490.64,4.0,Majority possible your easy.,UK,537295 4697,zwade@example.org
65,CUST_065,Electronics,Mar 03 2024,219.08,12.0,Their address plant play cost.,Canada,402.219.2545,obates@example.org
66,CUST_066,Clothing,2025-02-07,326.26,5.0,Big song group could themselves.,USA,+1-222-635-2348x86481,qroy@example.net
67,CUST_067,Grocery,23/05/2024,355.41,14.0,"Detail, yourself, coach, open. - not",United Kingdom,+1-362-996-0223x2898,nataliezamora@example.com
68,CUST_068,Electornics,Feb 29 2024,52.57,17.0,Evening property special coach.,United Kingdom,389.584.8475,wmurphy@example.net
69,CUST_069,Electornics,Nov 10 2024,376.51,19.0,"Difference, every, talk, change, explain, guess. - song",UK,236-290-7203x7209,brandtjimmy@example.org
70,CUST_070,Electronics,Oct 17 2024,147.77,11.0,Ball generation follow southern factor loss.,USA,934.986.9086,stewartjames@example.net
71,CUST_071,Furniture,Oct 03 2024,25.08,14.0,Coach into understand however.,Canada,+1-391-249-5455x324,kingjoshua@example.org
72,,Books,Feb 01 2025,235.04,19.0,Body south gas.,UK,+1 599 497 1668x780,charlesbowers@example.org
73,CUST_073,Books,Nov 15 2024,469.33,15.0,Arrive threat range say page less.,United Kingdom,500.291.5612,andrew25example.org.
74,CUST_074,Electronics,02/01/2025,247.41,12.0,"One, child, rock, office, doctor, college. - usually",CAN,476.245.5030,paul53@example.com
75,CUST_075,Sports,12/06/2024,416.63,15.0,Environmental point five.,USA,(872)946-8291,michael00@example.net
76,CUST_076,Electornics,Jan 10 2025,303.65,6.0,Consumer job manage kitchen provide.,usa,001 269 683 6678x1834,williamsthomas@example.com
77,CUST_077,nan,May 12 2024,83.76,17.0,Develop clearly how eight keep.,United Kingdom,8773513687,fordjacqueline@example.org
78,CUST_078,Clothing,19/01/2025,68.56,1.0,Space image for.,Canada,(301)988-8834x7282,christy29@example.com
79,CUST_079,Furniture,Mar 23 2024,334.44,4.0,Sure voice improve process yard.,Canada,775 789 2412x4124,michellescott@example.org
80,CUST_080,Furniture,2024-11-14,208.62,13.0,IDENTIFY WE RECENTLY FUND PRODUCTION.,CAN,479.396.9883x65694,lroth@example.net
81,CUST_081,Clothing,2024-03-24,244.31,5.0,Standard world second today red want.,CAN,403578 3944x836,smithjeremyexample.com.
82,CUST_082,Furniture,2024-11-07,254.92,17.0,Despite city top.,usa,537 945 1626,davideric@example.net
83,CUST_083,Sports,16/03/2024,472.96,17.0,Home candidate spend.,Usa,001-772-330-3290,srocha@example.net
84,CUST_084,Books,2024-06-04,22.63,6.0,CELL COST SEEM DOOR YOURSELF.,UK,6516129649,smithashley@example.com
85,CUST_085,Furniture,15/08/2024,278.03,17.0,Modern black practice.,Canada,(996)283-8945x6818,rkellyexample.net.
86,CUST_086,Furniture,Dec 10 2024,455.91,18.0,How arrive able.,CAN,(347)483-2974x13199,daniel33@example.com
87,CUST_087,Furniture,Mar 23 2024,79.58,18.0,Impact half avoid book end school.,CAN,453.842.2876,richard29@example.com
88,CUST_088,Sports,Apr 19 2024,48.39,,"Long, full, daughter. - budget",Usa,446.918.2086x42886,ferrellcarol@example.net
89,CUST_089,Grocery,22/07/2024,263.29,10.0,Similar difficult answer alone century.,Usa,498.398.5330x953,cheyenne52@example.org
90,CUST_090,Grocery,Aug 20 2024,135.39,2.0,Travel way hope herself general capital.,UK,5134995437,matthewjones@example.com
91,CUST_091,nan,Jan 12 2025,435.16,13.0,"Series, deep, rule. - attention",CAN,502.501.1274x70239,gary17@example.org
92,CUST_092,Electornics,2025-01-21,157.09,8.0,"Why, arm, agency, sense, short, growth. - usually",usa,+1 362 651 6189x55962,benjaminwilson@example.net
93,CUST_093,nan,25/09/2024,170.45,,Deal fall smile minute.,CAN,(403)619-1256x215,hbaker@example.com
94,CUST_094,Electronics,2024-11-06,134.12,7.0,This mouth who.,usa,+1-939-764-2480,rgriffith@example.com
95,CUST_095,Books,2025-01-25,183.72,16.0,OPERATION HOME BEST.,United Kingdom,798.865.0116x51973,nicole99@example.org
96,CUST_096,Furniture,2025-02-07,339.82,8.0,"Against, management, traditional. - who",United Kingdom,949.216.4819,theodore71@example.net
97,CUST_097,nan,2025-01-11,97.85,7.0,Industry each once have must rule.,Usa,6496001839,mmorgan@example.net
98,CUST_098,Grocery,Mar 02 2024,90.6,15.0,"East, within, place, public, although. - professor",Usa,(293)269-0836x44664,benjaminyoung@example.net
99,CUST_099,Furniture,15/09/2024,211.62,9.0,Particularly our American design might half.,CAN,642 708 2254x81904,robert21@example.net
100,CUST_100,Clothing,2024-05-27,100.87,9.0,Model project television perhaps.,UK,5122415172,stonedavid@example.net
101,CUST_101,Clothing,May 08 2024,106.19,10.0,Forget debate boy trial name.,CAN,+1-941-747-8944,uallen@example.com
102,CUST_102,Electornics,06/08/2024,161.8,3.0,Most certain together recent.,Usa,001-862-990-3157,bakercolin@example.net
103,CUST_103,Sports,Jan 25 2025,199.56,12.0,Performance common show social treat expect.,United Kingdom,202.675.4518,moorechristopher@example.com
104,CUST_104,Electronics,2025-01-28,26.47,12.0,Until than less between throughout.,CAN,5649131281,watkinsjeremy@example.com
105,CUST_105,Sports,2024-10-27,441.97,14.0,National state area significant community.,UK,001-511-880-9634x8923,rosspeter@example.org
106,CUST_106,Clothing,2024-08-03,265.95,12.0,According sister since another order.,Canada,001 353 519 9270x126,omiller@example.com
107,CUST_107,Furniture,Nov 16 2024,45.33,11.0,"White, chair, parent, local. - hold",UK,+1 799 352 1381x30024,stephen79@example.org
108,CUST_108,Sports,12/04/2024,329.75,6.0,Mother drop sit west matter hospital.,Canada,001-422-959-2210x2069,christopherdavis@example.com
109,,Furniture,2024-12-20,39.11,9.0,Give morning accept.,usa,+1-560-842-2505,shane26@example.net
110,CUST_110,Furniture,2024-04-13,350.68,15.0,Beautiful sport coach.,United Kingdom,(697)415-1158,wfigueroa@example.org
111,CUST_111,Books,Oct 29 2024,264.98,16.0,Remain suggest your down.,United Kingdom,900 497 6043x1908,longaustin@example.org
112,CUST_112,nan,12/08/2024,174.03,12.0,Like offer image heart score.,United Kingdom,773751 7358x90566,roseashleyexample.net.
113,CUST_113,Electornics,2024-07-21,411.2,1.0,Tonight light majority.,CAN,7743305571,gabriela97example.org.
114,CUST_114,Books,2025-02-10,343.99,11.0,Include consider operation method use guess.,Canada,816905 0780x871,zwalters@example.net
115,CUST_115,Electronics,24/03/2024,30.91,13.0,Move stock similar until.,CAN,558245 9052x95721,campbellmegan@example.net
116,CUST_116,Sports,2024-10-30,161.95,5.0,ACCEPT ECONOMIC MEASURE DISCUSS REPUBLICAN.,Usa,742-621-2657,christina25@example.net
117,CUST_117,Clothing,2024-12-16,202.43,17.0,Interview major believe they director.,United Kingdom,(665)288-7368,gbenitez@example.com
118,CUST_118,Furniture,Oct 03 2024,292.48,15.0,Price wrong recently weight direction.,USA,774.833.0015,epierce@example.net
119,CUST_119,Sports,2024-07-20,399.88,14.0,"May, continue, power, should, role, itself. - down",United Kingdom,(651)560-3688x943,mcguirerobertexample.net.
120,CUST_120,Sports,01/11/2024,262.08,16.0,Current water purpose yeah.,UK,(939)872-5697x3516,morgansharon@example.net
121,CUST_121,Sports,01/07/2024,143.82,1.0,"Reality, drop, may. - five",Canada,7616726092,nvelez@example.com
122,CUST_122,Clothing,2024-08-05,119.1,14.0,Wear another past character along.,UK,001 403 315 7086,anthonyramos@example.com
123,CUST_123,Books,2024-11-27,476.45,17.0,"Be, impact, option. - join",United Kingdom,454-278-8592,pblanchardexample.org.
124,CUST_124,Sports,2024-09-16,190.99,5.0,Knowledge despite late old.,CAN,328.561.2720,blackchristina@example.net
125,CUST_125,Books,Mar 18 2024,285.13,2.0,Meeting indicate concern support effect child.,Usa,(277)749-7580x3307,roymontgomeryexample.org.
126,CUST_126,nan,2024-06-03,254.88,19.0,NETWORK STATEMENT FIND.,USA,594 978 5239,weberkristin@example.com
127,CUST_127,Books,2024-03-10,244.68,11.0,Main thousand both but law Mr.,Usa,7769219666,nancy29@example.org
128,CUST_128,Electornics,23/02/2025,369.67,10.0,Its second catch positive.,USA,+1-597-339-0105x413,nbrown@example.net
129,,Grocery,Sep 26 2024,228.54,4.0,"Term, Mr, five, religious. - see",United Kingdom,636 918 4364,jonathan40@example.com
130,CUST_130,Furniture,2025-01-02,169.02,19.0,Address herself southern maybe commercial general.,Usa,001 276 408 3546x19351,sarahcarlson@example.net
131,CUST_131,Grocery,Jul 13 2024,484.03,5.0,Continue per where hundred.,CAN,+1 317 286 9529x895,dcochran@example.com
132,CUST_132,Clothing,2025-02-22,36.36,17.0,Back society order media somebody sing.,UK,867.993.9174,gillespiejamie@example.net
133,CUST_133,nan,Apr 30 2024,249.09,4.0,Born along find member.,United Kingdom,6797946886,preston55@example.org
134,,Electronics,25/08/2024,240.25,17.0,Fear understand whatever poor while.,CAN,243-572-1709x234,scott45@example.org
135,CUST_135,Furniture,08/02/2025,300.48,10.0,Later very office involve.,CAN,(380)326-2650x0754,angela54@example.org
136,CUST_136,Books,09/05/2024,405.93,7.0,Pretty home include.,UK,+1 631 917 6734x7001,leslie93@example.net
137,CUST_137,nan,15/05/2024,463.08,9.0,Agree boy might possible.,CAN,001 681 264 3913x32659,hubbardnichole@example.com
138,CUST_138,Books,2024-08-01,38.07,14.0,Consumer discover charge.,United Kingdom,001-622-654-3617x48836,lrandall@example.com
139,CUST_139,Grocery,Jan 18 2025,79.21,4.0,Family chance wind.,CAN,462 422 2707x0224,ahughes@example.com
140,CUST_140,Grocery,08/05/2024,268.41,4.0,Born address wish condition.,Canada,001 932 801 8469x53581,stephanie30example.net.
141,,Books,2024-12-26,491.9,11.0,Establish break book and ten network.,USA,+1 607 535 9378x2839,turnerwilliam@example.org
142,CUST_142,Sports,2024-09-07,399.34,13.0,"Natural, worker, partner. - purpose",Canada,790 809 4989,hallsherylexample.com.
143,CUST_143,Electronics,06/11/2024,99999.99,7.0,Leader song born cup measure.,UK,607.390.4651x7797,ajames@example.com
144,CUST_144,Sports,Feb 22 2025,419.22,16.0,Official think soldier fish often.,usa,+1 370 567 4412x08110,pyoung@example.org
145,CUST_145,nan,06/11/2024,314.14,,Yes beautiful political successful father with.,CAN,388.888.8182x489,gabriellahopkins@example.org
146,CUST_146,Electronics,2024-11-15,52.24,3.0,Require interesting myself.,United Kingdom,6473711472,john07@example.com
147,CUST_147,Clothing,May 24 2024,253.08,10.0,"Old, bank, operation, force, her. - anything",United Kingdom,636-521-7661x2341,hensleyhenry@example.net
148,CUST_148,Grocery,2024-06-19,493.53,,OPEN HUSBAND IMPACT.,United Kingdom,821-720-6845,harveyclifford@example.org
149,CUST_149,Electronics,20/04/2024,203.19,17.0,Impact drop key.,Canada,852 558 1369x972,danajimenez@example.org
150,CUST_150,Furniture,2024-09-22,224.86,3.0,Style together direction pull.,USA,638.260.8976x7599,swoodard@example.com
151,CUST_151,Books,2024-09-01,99999.99,9.0,Decision owner director.,UK,888-226-0064x1403,framos@example.net
152,CUST_152,Grocery,22/09/2024,253.52,6.0,"Turn, wonder, water. - budget",CAN,+1-736-437-0609x297,beasleyfrancisco@example.com
153,CUST_153,Furniture,Dec 24 2024,123.33,1.0,Run follow assume spend detail.,Usa,001 559 949 6667x1791,hcallahan@example.net
154,CUST_154,Sports,Jul 09 2024,361.64,14.0,"Decide, police, assume. - example",Usa,338.341.8040,ryan97@example.net
155,CUST_155,Electronics,2024-04-04,144.29,7.0,"Assume, window, them, decade, customer, record. - brother",usa,854203 4275x85331,kristen11@example.com
156,CUST_156,nan,2024-10-16,361.48,3.0,Case draw generation go century everything.,usa,630-977-1206,heather81example.net.
157,CUST_157,Grocery,2024-08-31,432.79,14.0,Expect read again.,USA,(292)321-0464x08657,gutierrezrebecca@example.net
158,CUST_158,Books,29/07/2024,259.81,11.0,"Wrong, fill, marriage, school. - student",Canada,001 980 750 3245x1338,lschneider@example.com
159,CUST_159,Furniture,Oct 14 2024,145.48,15.0,Enjoy east discussion take great allow.,Canada,+1 569 226 7896x617,justin83@example.com
160,CUST_160,nan,2024-05-22,257.65,19.0,Away image lose group environmental.,UK,282.670.6740,toddbowen@example.net
161,CUST_161,Grocery,May 10 2024,460.86,,"Political, claim, movement, traditional, sure. - maybe",United Kingdom,803 232 9834,wwallace@example.com
162,CUST_162,Books,Aug 27 2024,237.08,10.0,Real someone center traditional speak.,Canada,001-494-313-8954x6236,michael33@example.org
163,,Furniture,2024-06-27,99999.99,6.0,Agent country goal firm tax discussion.,United Kingdom,464.810.0724,jonathan54@example.org
164,CUST_164,nan,2024-04-10,110.54,1.0,"Prevent, eight, there, quite, administration, lose. - represent",UK,483.879.4517,xvaldez@example.com
165,CUST_165,nan,Apr 21 2024,169.74,15.0,"Budget, seven, present. - population",usa,(557)987-7713x98474,vanessajimenezexample.com.
166,CUST_166,nan,Jun 13 2024,480.59,4.0,Office sister authority mother station show.,UK,(739)457-1393x4948,mitchell28@example.org
167,CUST_167,Books,03/01/2025,189.11,4.0,"American, specific, respond, family, may. - run",Usa,566.854.2885,catherineingram@example.org
168,CUST_168,Electornics,Sep 12 2024,25.27,9.0,"Win, vote, until. - garden",Canada,(813)416-7696x70828,katrina74@example.org
169,CUST_169,Books,2024-09-28,414.94,3.0,Bill stand school.,UK,422.668.8321x470,newmanpatricia@example.org
170,CUST_170,Books,Jun 01 2024,378.33,19.0,Office establish to Mrs might.,United Kingdom,6417747208,christopher65@example.net
171,CUST_171,Grocery,14/06/2024,267.69,11.0,Old before style.,UK,957-507-0241x0854,lisa44@example.net
172,CUST_172,Sports,Apr 28 2024,115.99,4.0,Than thing responsibility.,UK,+1-383-397-5745x33291,qgriffith@example.org
173,CUST_173,Electornics,Oct 26 2024,248.19,4.0,Best leader medical side.,CAN,836.346.4982x37133,cwilkerson@example.org
174,CUST_174,Furniture,2024-07-16,270.5,4.0,Fast room man air type.,usa,+1 326 507 6325x8492,sharon39@example.net
175,CUST_175,Clothing,Apr 06 2024,208.61,16.0,"Consider, modern, bring, six. - vote",Usa,661-705-2952,shannonlindsey@example.org
176,CUST_176,Sports,2024-10-20,436.47,1.0,Hospital skin perform tell.,USA,001-865-792-8533,henry15@example.org
177,CUST_177,Electronics,2024-11-13,322.39,3.0,"Color, his, before, treatment, same, authority. - reason",UK,587 423 1217x008,williamskelly@example.org
178,CUST_178,nan,May 30 2024,155.35,,Business others customer someone prove.,United Kingdom,570-903-7897x2461,kyleprice@example.com
179,CUST_179,Grocery,Apr 03 2024,309.76,2.0,"Start, short, real, whatever. - local",CAN,569 321 7096x93322,nancy88example.org.
180,CUST_180,Furniture,2024-09-13,249.56,4.0,Blood language condition.,USA,001-351-709-7114x51678,sarahjones@example.org
181,CUST_181,Clothing,Feb 16 2025,234.41,8.0,Spring become probably edge catch.,usa,001-554-726-5890x95166,tyler29@example.net
182,CUST_182,Electornics,2024-11-02,64.02,9.0,"Leave, there, save. - remember",usa,001 402 507 5950x00577,tammygonzalez@example.com
183,CUST_183,Grocery,13/12/2024,408.83,18.0,General art where.,United Kingdom,841-638-9629,gary09@example.com
184,CUST_184,Grocery,Oct 15 2024,86.83,15.0,Dog move minute last sure.,United Kingdom,8292826010,matthewsawyer@example.org
185,CUST_185,Books,Feb 07 2025,237.19,5.0,Training American free star government today.,United Kingdom,821.525.5730x41677,bridgesphillip@example.net
186,CUST_186,Clothing,2024-07-13,219.58,13.0,Evening avoid represent order.,usa,+1-284-674-4842x92059,urobertson@example.net
187,CUST_187,Sports,2024-09-16,232.87,10.0,Side instead century third.,Canada,(382)760-5695x767,michael92@example.org
188,,Furniture,2025-01-07,56.62,17.0,Watch true forward daughter nor just.,CAN,+1-493-315-2071,amber92@example.org
189,CUST_189,Electornics,Dec 14 2024,447.81,7.0,"Value, fund, blue, onto, pass. - wait",CAN,+1-878-393-7753x24755,pproctor@example.net
190,CUST_190,nan,2024-09-07,363.37,5.0,"SPEECH, THOUGHT, GROW, REPUBLICAN, RISE, ENTIRE. - WATCH",Canada,755229 8681x6675,ashley31@example.net
191,CUST_191,Books,Nov 22 2024,372.21,5.0,Mouth away skin foreign trade pull.,United Kingdom,3416977494,steven66@example.com
192,CUST_192,Grocery,22/11/2024,326.87,3.0,Where south series culture reduce.,CAN,6636727553,jason97@example.net
193,CUST_193,Sports,30/07/2024,169.66,2.0,Some car spend late red.,UK,(919)680-1662x474,fschultz@example.org
194,CUST_194,Clothing,Feb 13 2025,478.71,12.0,Describe well establish center.,CAN,001 879 353 8627x6178,sharparthur@example.org
195,CUST_195,Electronics,05/01/2025,180.82,5.0,Realize than then near teacher consider.,United Kingdom,6757303681,christophermorris@example.org
196,CUST_196,Books,2024-03-17,366.96,15.0,Perhaps down reduce work what partner.,United Kingdom,(761)662-2754,mayrichard@example.com
197,CUST_197,Sports,Apr 13 2024,363.85,4.0,Maintain dinner option nothing true.,United Kingdom,914 268 0917,robertrush@example.net
198,CUST_198,Electornics,2024-08-14,442.82,5.0,Music maintain ok.,UK,981-873-7938x97108,alexmurphy@example.com
199,,Sports,19/04/2024,54.73,16.0,Beautiful movie under beautiful.,United Kingdom,001-253-862-0210x26972,angel02@example.net
200,CUST_200,nan,Mar 22 2024,94.97,5.0,Direction establish perhaps face.,CAN,(669)670-0944,carrollmelissa@example.com
201,CUST_201,nan,2025-01-09,121.99,9.0,"Since, believe, possible, air. - former",CAN,(253)547-4836x44980,jamesmedina@example.com
202,CUST_202,Furniture,2024-11-27,194.28,17.0,"Really, score, food, energy, onto. - defense",UK,+1-458-343-2974x67106,ncoleman@example.net
203,,Books,Oct 06 2024,220.48,6.0,Play owner level you first shoulder.,UK,3666462919,carloscruz@example.net
204,CUST_204,Sports,Oct 20 2024,290.18,19.0,About part evening for at yard.,United Kingdom,846.544.2775x72665,moorekristina@example.org
205,CUST_205,nan,06/02/2025,365.24,,Positive herself catch article blood federal.,UK,847.914.3204x198,owensjoseph@example.org
206,CUST_206,Books,2024-02-28,219.25,,"OPEN, MEAN, YOURSELF, READ, OFTEN. - TRUTH",UK,(647)617-1267x58354,michael46@example.org
207,CUST_207,Books,09/06/2024,112.84,,Various quickly analysis style.,UK,001 895 600 8061x1695,olloyd@example.com
208,CUST_208,Books,Feb 01 2025,57.12,15.0,"Against, charge, over, certainly, clear. - stuff",Canada,667.466.9493x1620,renee85@example.net
209,CUST_209,Clothing,Mar 14 2024,167.88,16.0,Seek public country society tend.,usa,866.929.0215x2212,rachel56@example.com
210,CUST_210,Clothing,2025-01-25,116.27,12.0,Indicate eye stay current possible.,usa,958-206-1006x60105,brian30example.net.
211,CUST_211,Electronics,May 21 2024,146.77,,"TRIP, MORE, CONDITION, SIT. - FRIEND",usa,358-695-3487x172,cjones@example.net
212,CUST_212,Furniture,2024-11-30,358.28,17.0,"Toward, prepare, deal. - yeah",UK,390.603.5706x946,hgarrettexample.net.
213,CUST_213,Clothing,20/12/2024,118.56,8.0,Instead shoulder gas military board.,usa,(206)214-3079x46980,daviskristenexample.org.
214,CUST_214,Furniture,12/06/2024,140.52,15.0,This hold many partner night.,Canada,208-379-0866x96181,zlopez@example.net
215,,Clothing,22/04/2024,467.5,18.0,"Model, group, trouble, security, decision, history. - usually",Canada,627860 1392x1534,hharrison@example.net
216,CUST_216,Grocery,Jan 17 2025,97.02,5.0,Range daughter phone military.,United Kingdom,+1-903-325-1684x35703,ortegaderek@example.com
217,CUST_217,nan,Feb 05 2025,20.34,15.0,Key he study stop.,Usa,4644054882,kingpatty@example.com
