citizenid,name,birthdate,nationality,address,votingstatus,passportnumber,taxid,maritalstatus,criminalrecord,educationlevel,income,immigrationyear
CIT_061,Erica Graham,1971-08-16,France,"4740 Ryan Streets Apt. 571, West Joseph, CT 79474",Not Registered,344354480,TAX-061-86,Widowed,Yes,PhD,24286.58,
CIT_062,Andrew Boyd,1994-03-18,France,"8314 Lisa Burg Suite 662, Margaretton, LA 14791",Not Registered,UNKNOWN,UNKNOWN,UNKNOWN,None,Doctorate,28888.17,
CIT_063,Sheena Holmes,1957-09-23,India,"041 Andrea Curve Suite 909, Thomasborough, NE 79211",Registered,409227565,TAX-063-68,Single,None,Doctorate,58823.81,
CIT_064,Dawn Rivera,1937-01-01,France,"7293 Ruiz Village Suite 545, North Martin, MP 47115",Not Registered,679212988,TAX-064-19,Married,Yes,High School,121841.26,
CIT_065,Christine Mills,1959-02-12,India,"8588 Diaz Island Suite 417, Lambville, UT 39258,",Registered,303170365,TAX-065-77,Divorced,Yes,High School,45048.01,
CIT_066,Mark Silva,1951-10-18,India,"79348 Gordon Views Suite 994, Smithport, MN 36314",Registered,480599158,TAX-066-47,Divorced,Pending,Bachelors,19109.16,
CIT_067,Robert Williams,1999-12-15,France,"4295 Everett Mountain Apt. 757, North Mark, IA 73810",Not Registered,897948412,TAX-067-12,UNKNOWN,None,High School,107643.08,2013.0
CIT_068,Terry Greer,1943-01-01,India,"810 Williams Mall Suite 184, Lauraside, SC 52549",Registered,481006285,TAX-068-62,Married,Pending,PhD,51699.91,1966.0
CIT_069,Stephanie Robinson,1976-02-23,France,"659 Sanchez Crossing Suite 148, New Claire, TX 62277",Not Registered,648041435,TAX-069-82,UNKNOWN,None,PhD,88870.86,
CIT_070,Daniel Brown Iv,1962-01-01,United States,"929 Tina Tunnel Suite 485, Port Ericchester, GA 25395,",Registered,653517586,TAX-070-09,Divorced,None,High School,34288.99,
CIT_071,Austin Brown,1935-08-13,France,"1681 Davis Throughway, New Tami, PR 28667,",Registered,739710374,TAX-071-40,UNKNOWN,None,Masters,45734.98,2008.0
CIT_072,Jason Hardy,2004-07-01,France,"Unit 3967 Box 9582, DPO AA 21182,",Registered,089012932,TAX-072-38,Married,None,High School,113885.05,1954.0
CIT_073,Erin Serrano,1971-01-09,India,"5431 Nicholas Glen, Laraview, KY 76400",Not Registered,197473749,TAX-073-07,Single,None,High School,76025.88,
CIT_074,Fernando Hunt,1971-10-01,France,"7728 Carol Plaza, Jamesborough, AR 17467",Not Registered,348047583,TAX-074-86,UNKNOWN,None,Doctorate,141163.07,
CIT_075,Christian Jenkins,1967-05-04,United States,"0641 Compton Ville Apt. 317, Cherylborough, GA 26222,",Registered,Q43566954,TAX-075-77,Married,None,High School,124707.37,
CIT_076,Karen Clarke,1964-06-27,United States,"602 Farrell Fort Suite 437, Lukefurt, MA 61924,",Not Registered,765989793,TAX-076-47,Married,Yes,High School,59602.37,
CIT_077,Jessica Simpson,1936-12-10,France,"8254 Denise Branch Suite 848, East Andrew, RI 79181",Registered,S19360916,TAX-077-45,Single,None,High School,59392.99,
CIT_078,Crystal Sherman,1988-01-21,France,"4087 Jesse Garden Apt. 611, Barnettfurt, AS 26457,",Not Registered,699467178,TAX-078-75,Married,None,High School,23435.91,
CIT_079,Andrew Cruz,2005-03-04,United States,"847 Moore Alley, Hollyview, MS 33843",Registered,915865369,TAX-079-46,Widowed,None,Bachelors,144903.59,
CIT_080,Linda Hunt,1969-04-27,France,"PSC 7712, Box 1971, APO AP 77910",Registered,122739425,TAX-080-93,UNKNOWN,Yes,High School,61501.58,1981.0
CIT_081,Rachel Gonzalez,1966-12-03,France,"243 Sanchez Park Suite 427, East Brian, CO 29669",Registered,813169136,TAX-081-37,Widowed,None,High School,92881.18,
CIT_082,Cody Young,1936-08-07,France,"37155 James Place, Port Johnland, AZ 85034,",Registered,UNKNOWN,TAX-082-25,Divorced,Yes,Bachelors,149131.03,
CIT_083,Nancy Munoz,1954-10-01,India,"1898 Jimenez Gardens, Barkermouth, MI 11114",Registered,F40685344,TAX-083-77,Widowed,None,Masters,100815.76,
CIT_084,Jennifer Hines,1986-02-03,United States,"01055 Butler Squares Suite 283, East Virginia, NC 54086",Registered,650055004,TAX-084-88,Divorced,Pending,Masters,120826.51,
CIT_085,April Dominguez,1953-08-21,France,"57033 Guerrero Valleys, West Lori, WI 41839",Registered,546986522,TAX-085-27,Divorced,None,Doctorate,48518.23,1970.0
CIT_086,Kyle Craig,1961-10-01,United States,"999 Katherine View Suite 134, Ronnieburgh, WI 18215",Not Registered,W13649051,UNKNOWN,Divorced,None,Bachelors,124153.45,
CIT_087,Richard Walker,1976-11-04,India,"99901 Jason Shoal Suite 270, Lake Darlene, NY 04495",Not Registered,Q26017097,TAX-087-86,Married,None,High School,138046.22,2006.0
CIT_088,Ryan Rhodes,1985-12-07,United States,"3187 Daniel Islands Apt. 114, East Brandon, WI 35060",Registered,961334893,TAX-088-10,Divorced,Yes,Doctorate,42555.87,
CIT_089,Shawn Owens,1972-05-12,United States,"68975 Amber Forge, West Amy, PR 67561",Not Registered,291867223,TAX-089-87,UNKNOWN,Pending,Bachelors,20332.01,
CIT_090,Brandon Farmer,2001-06-18,France,"Unit 1690 Box 0910, DPO AP 96028,",Registered,UNKNOWN,TAX-090-79,Married,None,PhD,104543.38,
CIT_091,Molly Wood,1977-06-01,France,"4429 Meghan Plains, Porterview, NJ 43977",Not Registered,281707091,TAX-091-44,Divorced,None,PhD,121991.02,
CIT_092,Matthew Tucker,1948-01-15,India,"9580 Wood Walk Suite 457, West Pattyfurt, WA 56097,",Registered,UNKNOWN,TAX-092-38,Married,None,PhD,58007.63,
CIT_093,Troy Rodriguez,1940-12-28,India,"82432 Roach Spur, South Marie, VT 24673,",Registered,566848854,TAX-093-75,Widowed,None,Doctorate,25499.16,
CIT_094,David Smith,1971-04-01,United States,"52269 Tammy Summit, East Emily, TN 68738",Registered,673813579,TAX-094-89,Widowed,Yes,PhD,126219.72,
CIT_095,Ricardo Taylor,1936-07-19,India,"87569 Kyle Vista Suite 972, Hortonton, KS 59208",Registered,J82064980,TAX-095-57,Single,None,Masters,142487.29,1966.0
CIT_096,Kevin Martinez,1952-07-16,United States,"068 Little Rapids, Skinnerborough, ND 17168,",Not Registered,Q55704555,TAX-096-56,Single,None,Masters,128649.89,
CIT_097,Ann Newton,1969-03-28,India,"758 Joanna Rapid Suite 686, Victorton, AR 17572,",Registered,T72657691,TAX-097-01,UNKNOWN,Yes,Bachelors,55551.04,
CIT_098,Christina Acevedo,1962-03-15,India,"12906 Amanda Mills Suite 026, Karenshire, UT 46371",Not Registered,601429556,TAX-098-68,Single,Yes,High School,79058.99,1978.0
CIT_099,Ana Klein,1986-11-12,United States,"9958 Tyrone Crossing, Deborahview, FL 87943",Registered,G31435758,TAX-099-24,Widowed,None,High School,77259.86,
CIT_100,Joseph Waters,1972-02-10,United States,"1630 Karen Dam Suite 640, West Josephview, SD 96804",Registered,UNKNOWN,TAX-100-43,Married,Yes,Bachelors,52115.11,
CIT_101,Chad Allen,2001-03-26,India,"487 Dylan Ramp, Heathertown, NM 64853",Registered,529062900,TAX-101-91,Married,Pending,Doctorate,117264.59,
CIT_102,David Taylor,1984-05-28,United States,"9175 Cooper Springs, North Loriton, NH 95112",Registered,182501153,TAX-102-26,UNKNOWN,None,Masters,110910.79,
CIT_103,Amy Davis,1989-02-21,India,"USCGC Perez, FPO AP 63598",Registered,520496675,TAX-103-55,UNKNOWN,None,Masters,81549.9,
CIT_104,Jonathan Lewis,1962-08-31,France,"390 Koch Unions, Salashaven, OR 03873",Registered,J42728222,TAX-104-58,UNKNOWN,None,Masters,114585.55,
CIT_105,James Barnes,2006-08-02,France,"174 Anthony Roads, South Sally, FL 98657",Not Registered,UNKNOWN,UNKNOWN,Divorced,Pending,Bachelors,115106.52,1960.0
CIT_106,Justin Murphy Ii,1934-12-19,United States,"USNV Moore, FPO AE 26139",Registered,541741030,TAX-106-08,Single,None,High School,76980.97,
CIT_107,Dennis Alvarez,1949-02-28,India,"775 Lisa Roads Suite 555, Davisshire, VT 74553,",Not Registered,M90425996,TAX-107-75,Married,Yes,High School,17575.26,
CIT_108,Sarah Schroeder,1947-02-12,France,"99880 Campos Lake, Gutierrezhaven, UT 77542,",Registered,169219144,TAX-108-64,UNKNOWN,None,Bachelors,137058.62,
CIT_109,Jason Gomez,1985-07-30,India,"Unit 9870 Box 8552, DPO AA 75731,",Registered,B17332490,TAX-109-19,Married,None,Bachelors,112422.11,1983.0
CIT_110,Pamela Smith,1983-01-17,India,"6666 Reyes Loop Suite 176, Lake Jacobmouth, SD 20135,",Registered,578787786,TAX-110-64,Single,Pending,PhD,75411.58,
CIT_111,Holly Cook,1990-06-12,France,"96434 Weiss Common Suite 369, New Alexanderton, MD 14365,",Registered,563904708,TAX-111-29,Divorced,None,Masters,54753.86,
CIT_112,Joshua Carlson,1996-11-08,France,"032 Vazquez Rapid Suite 766, Port Gregory, NH 91715",Registered,N40120280,TAX-112-94,Married,None,High School,29632.04,1995.0
CIT_113,Samantha Lindsey,1943-03-09,United States,"03121 Terrell Park, Schneiderside, MO 19876",Registered,M39715499,TAX-113-84,Single,Pending,High School,78751.85,
CIT_114,Brian Williams,1961-03-05,France,"71175 Brady Camp, North Mark, WV 19311",Not Registered,U30488903,TAX-114-76,Widowed,None,High School,47026.48,
CIT_115,Brett Hunter,1951-04-08,France,"863 Robinson Summit, West Robert, HI 41619,",Registered,O63358431,TAX-115-45,Divorced,Pending,High School,14103.27,
CIT_116,Reginald Jones,1947-07-30,United States,"427 Marie Corner, West Phillipshire, MI 42068,",Registered,Q33906045,TAX-116-05,Married,Pending,PhD,54352.13,
CIT_117,Robert Scott,2000-08-03,United States,"7793 Clark Trail Suite 073, Andersonville, AS 37249",Not Registered,447112255,TAX-117-98,Single,Pending,PhD,69714.29,
CIT_118,Hannah Moore,1959-11-06,India,"62161 Adams Path Suite 859, Lake Kevinmouth, UT 87561,",Not Registered,S03852335,TAX-118-85,Single,None,High School,81484.79,
CIT_119,Carmen Ruiz,1990-11-19,India,"12342 Powers Skyway Suite 760, Josephton, GU 94559",Registered,M73099164,TAX-119-86,Widowed,None,PhD,21587.68,
CIT_120,Melinda Hall,1992-12-10,United States,"9120 Brandy Loaf, Lake Samanthaburgh, OH 62616",Not Registered,C52127665,TAX-120-37,Divorced,Pending,High School,140740.2,
CIT_121,Robert White,1947-05-21,France,"5241 Ramsey Crossing, Nicolebury, NJ 93433",Registered,791409359,TAX-121-22,UNKNOWN,None,Doctorate,76307.13,1942.0
CIT_122,Rhonda Jones,1949-01-01,India,"1090 Jennifer Ridge Suite 200, Leahborough, TN 44468",Registered,N43790456,TAX-122-46,Single,None,PhD,115934.32,
CIT_123,Timothy Simpson,2006-10-04,India,"619 Nunez Trail, Leeville, GA 16488",Registered,UNKNOWN,TAX-123-19,Widowed,None,Bachelors,38321.66,
CIT_124,Timothy Taylor,1999-06-04,India,"094 Hannah Mountains, West Thomasberg, MN 62954,",Registered,068184827,TAX-124-40,UNKNOWN,None,High School,23528.39,
CIT_125,James Fernandez,2002-04-27,United States,"12278 Jennifer Crossing, New Robert, SC 60963,",Not Registered,E07083894,TAX-125-67,Divorced,None,PhD,114350.04,
CIT_126,Pamela Frost,1992-05-24,India,"1906 Fischer Dam Apt. 568, West Charles, MI 99267,",Registered,478706981,TAX-126-24,Divorced,Yes,High School,56623.89,
CIT_127,Melissa Young,1951-08-21,India,"43930 Tyrone Trace, Robertland, SD 07983",Not Registered,203697814,TAX-127-03,Married,Pending,Masters,54531.75,1976.0
CIT_128,Jonathan Lee,2016-08-05,United States,"265 Long Lights Apt. 028, West Anthonyshire, LA 21459",Not Registered,S41480923,TAX-128-94,Widowed,None,Doctorate,120527.33,
CIT_129,Patrick Newman,1958-02-07,United States,"761 Walker Landing Suite 161, North Tonyaport, NH 57461,",Registered,671033442,TAX-129-09,Single,Pending,Doctorate,108019.19,
CIT_130,Sarah Foster,1966-06-01,India,"99113 Todd Cape Apt. 907, Kaitlynville, WV 55928",Registered,544782647,TAX-130-31,Single,None,High School,132114.47,
CIT_131,Alexis Williams,1969-08-07,France,"97777 Richardson Way, Port Ericafurt, IN 13815,",Registered,851780612,TAX-131-87,UNKNOWN,Pending,High School,112450.75,
CIT_132,John Rodriguez,1959-11-07,France,"213 Angela Knoll, Nicholasmouth, NE 87089,",Registered,Y84238940,TAX-132-23,Divorced,None,Doctorate,100243.86,
CIT_133,Crystal Sanchez,1977-04-09,India,"029 Crystal Rapids, Lake John, IN 36982",Not Registered,934346269,TAX-133-96,Divorced,Pending,Doctorate,-86352.0,
CIT_134,Eric Donaldson,2005-06-26,India,"73493 Palmer Isle Suite 849, North Michaelfurt, MI 46114",Registered,120759270,TAX-134-63,Widowed,Yes,Bachelors,10836.46,
CIT_135,Louis Mitchell,1988-01-27,France,"8092 Knight Islands, South Nataliemouth, GU 87719",Registered,535857426,TAX-135-45,Divorced,None,High School,43513.62,
CIT_136,Sandra Hanson,1971-10-09,France,"2790 Rebecca Vista Apt. 970, Port Andrea, FL 28378",Registered,528476181,TAX-136-84,Widowed,Yes,Masters,100282.69,1965.0
CIT_137,Daniel Mitchell,1979-06-10,India,"6051 Streetephanie Streetream, Kevinchester, OH 26524,",Registered,689802581,TAX-137-10,Divorced,Pending,PhD,-44628.0,1956.0
CIT_138,Sara Payne,1947-11-29,France,"2400 Kelley Bridge, Meganburgh, ND 64268",Registered,673221935,TAX-138-20,Single,Pending,High School,65425.99,
CIT_139,Jessica Medina,1955-05-06,France,"884 Susan Vista Suite 397, Edwinland, IN 11951,",Not Registered,247287769,TAX-139-07,Divorced,Pending,Doctorate,53170.64,
CIT_140,Mrs. Brandi Henderson,2001-02-24,United States,"36449 Norton Mission, New Brandifurt, SD 09405,",Not Registered,034408506,TAX-140-62,Single,None,Doctorate,130249.35,
CIT_141,Tonya Williamson,1983-09-11,United States,"921 Joshua Springs, Michaelport, TX 54037",Registered,391294507,TAX-141-97,Single,Yes,High School,104880.31,
CIT_142,Tina Carter,1965-06-07,India,"PSC 0524, Box 7586, APO AE 91523",Registered,UNKNOWN,TAX-142-84,Single,Yes,High School,16088.47,
CIT_018,Melissa Davis,1944-06-02,India,"791 Michelle Cliff, Port Taylor, OR 73555",Registered,D15249582,UNKNOWN,UNKNOWN,Pending,PhD,60833.72,1937.0
CIT_144,Todd Harvey,1951-08-07,India,"Unit 3925 Box 1809, DPO AA 78107,",Registered,668406722,TAX-144-58,Married,None,PhD,28507.87,
CIT_145,John Delacruz,1987-10-15,India,"475 Daniel Fords Suite 956, South Amber, WV 57053",Registered,UNKNOWN,TAX-145-67,Divorced,None,PhD,149564.18,
CIT_146,Kevin Mitchell,1993-02-06,France,"4124 Valencia Street Suite 909, West Michaelville, MH 35022",Not Registered,O79917951,TAX-146-22,Single,None,High School,54836.28,
CIT_147,Charlene Moore,1957-05-08,France,"28862 Andrea Locks, North Williambury, WY 66208",Registered,U25487953,TAX-147-16,Divorced,Yes,PhD,86206.9,
CIT_148,Scott Smith,1940-08-31,United States,"8123 Waters Neck Apt. 506, Cassandraville, HI 63780",Registered,D45843754,TAX-148-88,Single,Pending,High School,18770.28,
CIT_149,Brandi Baker,2001-06-19,India,"84470 Gary Squares, Joshuamouth, MA 11308",Registered,Z31803243,TAX-149-67,Divorced,None,Doctorate,62541.66,1986.0
CIT_150,Melanie York,1972-07-13,India,"6755 Dillon Rue Apt. 817, Lake Jenniferbury, UT 15794,",Registered,I50687850,TAX-150-22,Married,None,PhD,42271.78,
CIT_151,Chelsea Johnson,1967-02-16,France,"86813 Patricia Island, Ronaldside, MT 87625",Registered,UNKNOWN,TAX-151-03,UNKNOWN,None,Bachelors,63588.84,1960.0
CIT_152,Ashley Duke,1996-03-30,France,"Unit 7248 Box 2062, DPO AP 38205",Registered,UNKNOWN,UNKNOWN,Single,None,Masters,43227.75,
CIT_153,Robert Lopez,1963-08-03,United States,"8026 Cobb Mews Suite 048, Taylorfurt, ID 51165",Registered,G41225671,TAX-153-99,Married,None,Masters,86572.95,
CIT_154,Joseph Stanley,1945-09-29,United States,"454 Allison Rapid Apt. 386, South Dominique, WA 63522",Not Registered,925554962,TAX-154-55,Single,None,Doctorate,85679.34,
CIT_155,Wayne Gordon,1975-10-17,United States,"068 Lynn Ramp Suite 749, Kathleenchester, CA 76492",Registered,UNKNOWN,TAX-155-85,Divorced,None,Masters,101925.59,
CIT_156,Jason Mitchell,1993-04-11,United States,"USCGC Swanson, FPO AE 15246",Registered,UNKNOWN,TAX-156-75,Widowed,None,High School,43128.39,
CIT_157,Michael Martinez,1972-10-01,France,"1773 Jackson Gateway, Lake Erika, CT 07280,",Registered,703793919,TAX-157-25,Widowed,None,Doctorate,82701.82,2004.0
CIT_158,David Wallace,1993-03-03,India,"7414 Ellis Springs, West Teresa, GA 06415",Registered,K61165076,TAX-158-31,Divorced,None,PhD,18563.44,
CIT_159,Kevin Kelley,1982-09-27,France,"4114 Fuller Fields Apt. 942, Port Amandaburgh, OR 22572",Registered,N69495915,UNKNOWN,Widowed,Pending,High School,77424.67,
CIT_160,Matthew Gonzalez,1991-02-18,United States,"935 Gary Plaza Suite 880, Wilsonfort, OK 75483,",Registered,P26553666,UNKNOWN,Married,None,Masters,-55857.0,
